ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
5395	3	6.03673	0	12	18	0	0	1	0	209.64
5396	3	5.3358	0	7	14	0	0	1	0	107.15
5397	3	6.80326	0	7	13	0	0	1	0	227.69
5398	3	5.51502	0	10	16	0	0	1	0	145.36
5399	3	4.6901	0	10	16	0	0	1	0	114.70
5400	3	3.37895	0	11	17	0	0	1	0	8.72
5401	3	3.37895	0	11	17	0	0	1	0	8.72
5402	3	4.1901	0	9	14	0	0	1	0	224.42
5403	4	3.45879	0	8	13	0	1	1	0	320.52
5404	3	5.48125	0	10	16	0	0	1	0	143.57
5405	1	0.340907	0	8	13	0	0	1	0	73.97
5406	1	0.340907	0	9	15	0	0	1	0	77.53
5407	1	0.340907	0	8	14	0	0	1	0	76.01
5408	1	0.13	0	8	14	0	0	1	0	49.55
5409	1	0.13	0	9	15	0	0	1	0	49.37
5410	1	0.13	0	12	18	0	1	1	0	49.06
5411	1	0.501597	0	7	13	0	0	1	0	89.08
5412	4	1.7998	0	7	13	0	1	1	0	29.05
5413	1	0.260823	0	11	17	0	0	1	0	112.05
5414	1	0.260823	0	6	12	0	0	1	0	93.68
5415	1	0.14414	0	6	12	0	0	1	0	40.64
5416	1	0.14414	0	10	16	0	0	1	0	42.85
5417	1	0.436038	0	10	16	0	0	1	0	150.66
5418	1	0.436038	0	11	16	0	0	1	0	150.66
5419	1	0.260823	0	11	17	0	0	1	0	112.05
5420	1	0.260823	0	11	17	0	0	1	0	112.05
5421	1	0.476381	0	10	16	0	0	1	0	92.52
5422	2	0.476381	0	9	16	0	0	1	0	51.93
5423	1	0.260823	0	9	14	0	0	1	0	104.19
5424	1	0.260823	0	7	13	0	0	1	0	98.90
5425	1	0.14414	0	7	13	0	0	1	0	41.30
5426	1	0.14414	0	7	13	0	0	1	0	41.30
5427	1	0.436038	0	6	12	0	0	1	0	121.12
5428	2	1.85585	0	11	18	0	0	1	0	148.70
5429	2	1.85585	0	9	15	0	0	1	0	135.98
5430	1	0.598283	0	8	14	0	0	1	0	73.70
5431	2	1.7998	0	9	16	0	0	1	0	27.97
5432	2	1.7998	0	9	15	0	0	1	0	28.24
5433	1	1.7998	0	11	17	0	0	1	0	9.56
5434	1	0.768128	0	5	11	0	0	1	0	61.95
5435	1	0.768128	0	5	11	0	0	1	0	61.95
5436	1	0.588906	0	8	14	0	0	1	0	51.73
5437	1	0.588906	0	9	16	0	0	1	0	51.55
5438	1	0.14414	0	9	15	0	0	1	0	58.93
5439	1	1.88731	0	7	12	0	0	1	0	196.44
5440	1	0.13	0	6	12	0	0	1	0	50.02
5441	1	0.713945	0	8	14	0	0	1	0	31.73
5442	1	0.713945	0	10	16	0	0	1	0	35.30
5443	1	0.476381	0	5	11	0	0	1	0	45.78
5444	1	0.476381	0	6	12	0	0	1	0	46.70
5445	1	0.340907	0	6	12	0	0	1	0	71.95
5446	1	0.501597	0	5	11	0	0	1	0	83.99
5447	1	0.658969	0	5	11	0	0	1	0	55.62
5448	1	0.864748	0	5	11	0	0	1	0	52.87
5449	1	0.864748	0	5	11	0	0	1	0	52.87
5450	1	0.91721	0	6	11	0	0	1	0	90.11
5451	1	0.91721	0	6	13	0	0	1	0	103.87
5452	1	0.658969	0	6	12	0	0	1	0	55.64
5453	1	0.768128	0	6	11	0	0	1	0	61.95
5454	1	0.887422	0	5	11	0	0	1	0	50.96
5455	1	0.887422	0	5	11	0	0	1	0	50.96
5456	1	1.05303	0	5	10	0	0	1	0	36.17
5457	4	0.864748	0	5	10	0	1	1	0	51.25
5458	2	2.0545	0	12	18	0	0	1	0	90.19
5459	3	2.0545	0	9	15	0	0	1	0	84.65
5460	1	1.05303	0	7	13	0	0	1	0	41.42
5461	1	1.1578	0	5	11	0	0	1	0	61.35
5462	1	0.476381	0	8	14	0	0	1	0	84.98
5463	1	0.476381	0	8	14	0	0	1	0	84.98
5464	1	0.14414	0	8	14	0	0	1	0	41.97
5465	2	2.27636	0	9	15	0	0	1	0	603.32
5466	1	0.13	0	11	17	0	0	1	0	49.19
5467	2	1.85585	0	11	17	0	0	1	0	143.25
